formation info	Avez vous suivi une formation en informatique durant votre formation initial	Avez vous suivie une formation en dehors de votre formation initial	type formation info	Avez vous suivi un MOOC ?	Avez vos suivi une formation en presentiel ?	Avez vous suivi une formation hybride ?	Avez vous suivi une formation avec des amis ?	Avez vous suivi une formation en ligne hors mooc ?	formation magist ere	Y a t il une formation en informatique dans votre département ?	Avez vou suivi une formation en informatique durant votre magistère ?	Class Code	temps rencontre	capacit e r esolution pb	insertion pro	citoyen num erique	Cet enseignement fait partie des mission	Cet enseignement est utile aux apprentis	facilit e mise en oeuvre	objectifs faciles	a l aise avec les connaissances	enseignement code	d ecision enseignement	Avez vous décidé d'enseigner le code a la suite d'une réflexion collective ?	Avez vous décidé d'enseigné a la suite d'une sollicitation institutionnelle ?	Avez vous décide de faire cet enseignement par vous même ?	coll egues enseignent code	mat eriel pour enseigner	utilisation REL	forum	suivi formation en ligne	suivi MOOC	domaines MOOC	Vous avez suivi un mooc dans le domaine du droit, économie, sciences politiques ?	Vous avez suivi un mooc dans d'autres le domaine ?	Vous avez suivi un mooc dans le domaine de l'enseignement ?	Vous avez suivi un mooc dans le domaine de la Sciences et technologies ?	Vous avez suivi un mooc dans le domaine de lettres langues sciences humaines et sociales?	Vous avez suivi un mooc dans le domaine de la santé ?	Vous avez suivi un mooc dans le domaine de l'informatique ?	raison non inscription MOOC	ecriture prog	definition pens ee info	prog affichage	prog tri	d eplacement robot	usages num erique	Avez vous regarder des videos ?	Avez vous ecouter/t el echarger de la musique ?	Avez vous participez a des réseaux sociaux ?	Vous avez déjà acheté en ligne ?	mettre en ligne	Avez vous mit en ligne des contenus professionnels ?	Avez vous mit en ligne des contenus personnels ?	niveau classe	Avez vous une classe CP ?	Avez vous une classe grande section ?	Avez vous une classe CE1 ?	Avez vous une classe CE2 ?	Avez vous une classe CM2 ?	Avez vous une classe de CM1 ?	Avez vous une classe en moyenne section ?	Avez vous une classe en petite section ?	ann ees exp	d epartement	genre	option info	bac	DATE_SAISIE	NUMERO
Oui en dehors de ma formation initiale	false	true	formation avec des amis coll egues;formation en pr esentiel	false	true	false	true	false	Non mais il en existe dans mon d epartement	true	false			2	2	4	4	1	4	4	4	4					Non	3	2	5	Oui	3										1	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1	false	false	false	false	false	true	false	false	10	49	une femme	Non	1	28/04/2017 12:16	12
Oui en dehors de ma formation initiale	false	true	formation hybride	false	false	true	false	false	Non mais il en existe dans mon d epartement	true	false			2	4	3	1	1	4	4	4	2	de vous-m eme	false	false	true		2	2	4	Oui	1	Enseignement	false	false	true	false	false	false	false		5	Non	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;Moyenne section;CP;CE2;CM2	true	false	false	true	true	true	true	false	10	49	une femme	Non	2	28/04/2017 17:50	13
Non	false	false												3	2	1	4	4	2	2	2	4					Non	3	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CE2	false	false	true	true	false	false	false	false	13	49	une femme	Non	1	28/04/2017 23:00	14
Non	false	false												3	2	1	4	4	2	2	2	4					Non	2	2	5	Non											4		Non	Non	Non	Achat en ligne;Participation  a des r eseaux sociaux;Regarder des vid eos	true	false	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CM2	false	false	false	false	true	true	false	false	25	49		Non	1	29/04/2017 06:58	15
Non	false	false												2	2	1	1	4	2	1	2	4					Non	1	3	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CE1	false	false	true	false	false	false	false	false	18	49	une femme	Non	4	29/04/2017 12:07	16
Non	false	false												2	4	1	2	1	2	1	2	4					Non	4	2	5	Non											4	Non	Non	Non	Non	Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	false				CE1;CE2	false	false	true	true	false	false	false	false	20	49	une femme	Non	4	29/04/2017 18:05	17
Non	false	false												1	2	1	1	1	1	4	1	2	de vous-m eme	false	false	true	Non	1	2	3	Non											5	Oui	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;CM2	false	false	false	false	true	true	false	false	30		un homme		1	30/04/2017 18:57	18
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Oui	false	true			1	2	3	3	1	3	3	3	2	de vous-m eme; a la suite d une sollicitation institutionnelle	false	false	true	Non	1	2	5	Non											5	Oui	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	false	CP	true	false	false	false	false	false	false	false	33	49	une femme	Non	3	01/05/2017 11:09	19
Non	false	false												1	2	3	1	4	4	1	2	4					Non	4	2	5	Non											4	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CP	true	false	false	false	false	false	false	false	19	49	une femme	Non	1	02/05/2017 06:49	20
Oui en dehors de ma formation initiale	false	true	formation hybride;formation avec des amis coll egues	false	false	true	true	false	Non il n en n existe pas dans mon d epartement	false	false			1	4	3	3	4	3	3	3	1	de vous-m eme	false	false	true	Oui	1	2	3	Oui	2									3	3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique	false	true	false	true				CM1	false	false	false	false	false	true	false	false	37	49	un homme	Non	4	02/05/2017 15:38	21
