formation info	Avez vous suivi une formation en informatique durant votre formation initial	Avez vous suivie une formation en dehors de votre formation initial	type formation info	Avez vous suivi un MOOC ?	Avez vos suivi une formation en presentiel ?	Avez vous suivi une formation hybride ?	Avez vous suivi une formation avec des amis ?	Avez vous suivi une formation en ligne hors mooc ?	formation magist ere	Y a t il une formation en informatique dans votre département ?	Avez vou suivi une formation en informatique durant votre magistère ?	Class Code	temps rencontre	capacit e r esolution pb	insertion pro	citoyen num erique	Cet enseignement fait partie des mission	Cet enseignement est utile aux apprentis	facilit e mise en oeuvre	objectifs faciles	a l aise avec les connaissances	enseignement code	d ecision enseignement	Avez vous décidé d'enseigner le code a la suite d'une réflexion collective ?	Avez vous décidé d'enseigné a la suite d'une sollicitation institutionnelle ?	Avez vous décide de faire cet enseignement par vous même ?	coll egues enseignent code	mat eriel pour enseigner	utilisation REL	forum	suivi formation en ligne	suivi MOOC	domaines MOOC	Vous avez suivi un mooc dans le domaine du droit, économie, sciences politiques ?	Vous avez suivi un mooc dans d'autres le domaine ?	Vous avez suivi un mooc dans le domaine de l'enseignement ?	Vous avez suivi un mooc dans le domaine de la Sciences et technologies ?	Vous avez suivi un mooc dans le domaine de lettres langues sciences humaines et sociales?	Vous avez suivi un mooc dans le domaine de la santé ?	Vous avez suivi un mooc dans le domaine de l'informatique ?	raison non inscription MOOC	ecriture prog	definition pens ee info	prog affichage	prog tri	d eplacement robot	usages num erique	Avez vous regarder des videos ?	Avez vous ecouter/t el echarger de la musique ?	Avez vous participez a des réseaux sociaux ?	Vous avez déjà acheté en ligne ?	mettre en ligne	Avez vous mit en ligne des contenus professionnels ?	Avez vous mit en ligne des contenus personnels ?	niveau classe	Avez vous une classe CP ?	Avez vous une classe grande section ?	Avez vous une classe CE1 ?	Avez vous une classe CE2 ?	Avez vous une classe CM2 ?	Avez vous une classe de CM1 ?	Avez vous une classe en moyenne section ?	Avez vous une classe en petite section ?	ann ees exp	d epartement	genre	option info	bac	DATE_SAISIE	NUMERO
Non	false	false												4	4	2	2	2	2	2	2	4					Non	4	2	3	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Grande section;CP	true	true	false	false	false	false	false	false	10	49	une femme	Non	4	04/05/2017 22:26	33
Oui durant ma formation initiale	true	false	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			3	4	1	2	4	4	4	4	4					Oui	2	3	5	Oui	3										5	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique	false	true	false	true				Grande section;CE1;CM2	false	true	true	false	true	false	false	false	20	49	une femme	Non	1	05/05/2017 20:10	34
Non	false	false												1	2	3	1	1	1	1	1	2	de vous-m eme	false	false	true	Oui	2	3	3	Non											5	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CE2	false	false	false	true	false	true	false	false	7	49	une femme	Non	1	06/05/2017 09:03	35
Non	false	false												2	2	4	4	2	3	4	1	2	de vous-m eme	false	false	true	Non	3	1	4	Oui	1	Enseignement	false	false	true	false	false	false	false		5	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;CM2	false	false	false	false	true	true	false	false	5	49	une femme	Non	1	08/05/2017 12:55	36
Non	false	false												2	2	1	1	1	4	4	4	2	de vous-m eme	false	false	true	Non	2	2	3	Non											5	Oui	Oui	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;CE2;CM2	false	false	false	true	true	true	false	false	3	44	une femme	Non	1	08/05/2017 14:11	37
Non	false	false												1	2	1	1	1	1	1	4	4					Oui	2	2	4	Non											4	Non	Non	Non		Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CE1;CM1;CE2;CM2	false	false	true	true	true	true	false	false	4	49	une femme	Oui	3	08/05/2017 19:41	38
Oui en dehors de ma formation initiale	false	true	MOOC	true	false	false	false	false	Oui	false	true	Non vous n en n avez pas entendu parler		2	2	1	1	1	1	1	4	3	de vous-m eme	false	false	true	Non	3	2	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM2	false	false	false	false	true	false	false	false	16	44	une femme	Non	4	09/05/2017 10:43	39
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			1	4	3	3	3	3	3	3	2	de vous-m eme	false	false	true	Oui	2	1	4	Oui	1	Informatique	false	false	false	false	false	false	true		3	Oui	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true										16	44	une femme	Oui	1	09/05/2017 13:05	40
Non	false	false												2	2	4	4	4	4	4	4	4					Non	2	2	5	Non											4	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CM2	false	false	false	false	true	true	false	false	21	49	une femme	Non	1	09/05/2017 17:56	41
Non	false	false												3	2	1	2	4	3	4	3	4					Oui	3	3	3	Oui	3										2	Oui	Oui	Oui	Oui	Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	false	Rien de tout cela	false	false	CM2	false	false	false	false	true	false	false	false	20	49	un homme	Non	1	09/05/2017 17:45	42
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			2	2	3	3	3	1	4	4	2	 a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle	true	true	false	Oui	1	2	4	Oui	2									1	1	Non	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM2	false	false	false	false	true	false	false	false	15	44	une femme	Non	4	10/05/2017 06:28	43
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			2		1	1	1	1	1	1	2	de vous-m eme; a la suite d une sollicitation institutionnelle	false	false	true	Non	3	2	5	Oui	2									3	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Petite section;Grande section;CM1;Moyenne section;CM2	false	true	false	false	true	true	true	true	5	44	une femme	Non	1	10/05/2017 11:42	44
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			2	2	1	1	1	1	4	1	4					Oui	2	4	5	Non											3	Non	Oui	Oui	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Grande section;Moyenne section	false	true	false	false	false	false	true	false	10	44	un homme	Non	1	10/05/2017 17:17	45
Non	false	false												3	4	2	2	2	2	2	2	4					Non	3	2	5	Oui	2									4	4	Non	Non	Non	Non	Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	false				CM1;CE2	false	false	false	true	false	true	false	false	4	49	une femme	Non	4	12/05/2017 09:23	46
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	2	4	1	4	1	4	1	2	 a la suite d une sollicitation institutionnelle	false	false	false	Oui	2	2	4	Oui	2									1	2	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM2	false	false	false	false	true	false	false	false	3	44	une femme	Non	1	12/05/2017 16:55	47
